year,fips,rep_votes,dem_votes,acs_vintage,total_pop,hispanic,edu_total_25plus,hs_or_less
2012,13099,2557,2765,2012,10928,73,7142,4563
2012,13101,917,173,2012,4024,1100,2397,1605
2012,13103,15596,4947,2012,52203,1515,33017,17296
2012,13105,4859,3181,2012,20103,999,13588,9321
2012,13107,5100,2927,2012,22600,981,14656,9538
2012,13109,2268,1268,2012,10935,1363,7032,4290
2012,13111,7857,2028,2012,23554,435,17650,10700
2012,13113,38075,19736,2012,106525,6668,71119,19184
2012,13115,22733,9640,2012,96204,8999,62877,34159
2012,13117,65908,14571,2012,177103,16583,113432,33322
2012,13119,6114,1499,2012,22070,850,14933,9560
2012,13121,137124,255470,2012,929535,72356,609076,173761
2012,13123,8926,1958,2012,28232,2763,20075,11714
2012,13125,1135,176,2012,3082,14,2137,1367
2012,13127,20893,11950,2012,79628,5032,53761,22734
2012,13129,13197,3440,2012,55192,7789,35335,22123
2012,13131,5924,3419,2012,25068,2554,16294,10854
2012,13133,5071,3201,2012,15988,906,11784,7353
2012,13135,159855,132509,2012,810624,162252,506708,183653
2012,13137,12166,2301,2012,43038,5356,28838,16014
2012,13139,47481,12999,2012,180831,47315,113727,58845
2012,13141,769,3308,2012,9422,112,6649,4567
2012,13143,8446,1789,2012,28627,339,18886,12300
2012,13145,11197,4145,2012,31870,886,22012,8379
2012,13147,6517,2870,2012,25277,799,17544,10276
2012,13149,3160,948,2012,11756,106,7807,5130
2012,13151,46774,43761,2012,203185,11797,127441,53438
2012,13153,34662,22702,2012,140699,8553,89543,35911
2012,13155,2538,1141,2012,9646,99,6481,4076
2012,13157,19135,4238,2012,60268,3761,39493,21888
2012,13159,4136,1845,2012,13786,525,9176,5312
2012,13161,3996,1275,2012,14972,1539,9349,6094
2012,13163,2999,4261,2012,16817,101,11077,7821
2012,13165,1887,1488,2012,8477,602,5468,3591
2012,13167,2440,1305,2012,9981,51,6965,4372
2012,13169,7744,4274,2012,28638,333,19057,9581
2012,13171,4899,2602,2012,18151,360,11720,7060
2012,13173,1820,1114,2012,10066,468,6298,3461
2012,13175,11950,7513,2012,48264,1101,31764,19791
2012,13177,10314,3196,2012,28449,589,18236,8514
2012,13179,5565,10457,2012,64663,6612,35743,15463
2012,13181,2807,1586,2012,7962,18,5528,3498
2012,13183,2306,1442,2012,14488,1722,8432,4901
2012,13185,21327,17470,2012,109730,5311,63034,29913
2012,13187,8647,2055,2012,30040,1367,18928,9140
2012,13189,5475,4044,2012,21762,486,14179,8876
2012,13191,3409,2864,2012,14119,189,9272,5276
2012,13193,1545,3211,2012,14552,535,9747,6678
2012,13195,8443,2494,2012,27988,1119,18873,11807
2012,13197,1733,1412,2012,8615,567,5834,3973
2012,13199,4856,4331,2012,21966,357,14924,10053
2012,13201,1905,852,2012,6094,33,4119,2554
2012,13205,4155,4081,2012,23510,1023,15580,10853
2012,13207,8361,3785,2012,26376,560,18157,10049
2012,13209,2662,1135,2012,9054,501,5834,3710
2012,13211,6186,2753,2012,17919,486,12271,6782
2012,13213,8443,2542,2012,39635,5269,25542,17804
2012,13215,27510,42573,2012,191278,12423,119041,51225
2012,13217,20982,21851,2012,100047,4598,62330,30180
2012,13219,13098,4421,2012,32814,1440,21125,5845
2012,13221,4251,1914,2012,14745,547,10036,5712
2012,13223,40846,15825,2012,141846,7246,87811,41975
2012,13225,5287,6148,2012,27531,1879,16571,8486
