model,delta,tau_loglik_loss,objective,attained_value,g01,g12,sum,loglik,fixed_reference_loglik,actual_maximum_drift,weighted_average_drift,minimum_middle_state_mass,minimum_parameter,near_boundary_count,status,global_certificate
hmm3,0.15,10.0,g12_max,0.048645929635364384,0.030736735382212128,0.048645929635364384,0.07938266501757651,-10313.030284048089,-10303.05290322578,0.13895487764049058,0.049202914130357704,0.15973296723136696,0.0,2,locally_searched_attained_extreme,False
hmm3,0.15,10.0,sum_min,0.0,0.0,0.0,0.0,-10295.13396702939,-10303.05290322578,0.15,0.0485099689342607,0.15430091318306316,0.0,12,locally_searched_attained_extreme,False
hmm3,0.15,10.0,sum_max,0.09239977910596767,0.05779777588761214,0.03460200321835553,0.09239977910596767,-10313.019370311424,-10303.05290322578,0.0,0.0,0.16050638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.2,2.0,g01_min,0.0,0.0,0.0,0.0,-10303.052903225782,-10303.05290322578,0.1522122806048261,0.04862077479800229,0.15450244198783844,0.0,12,locally_searched_attained_extreme,False
hmm3,0.2,2.0,g01_max,0.05479777588761213,0.05479777588761213,0.02638332575732556,0.08118110164493769,-10304.938979973256,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.2,2.0,g12_min,0.0,0.0,0.0,0.0,-10303.052903225782,-10303.05290322578,0.1522122806048261,0.04862077479800229,0.15450244198783844,0.0,12,locally_searched_attained_extreme,False
hmm3,0.2,2.0,g12_max,0.04323201481164955,0.02773673538221213,0.04323201481164955,0.07096875019386167,-10304.963796612665,-10303.05290322578,0.13895487764049058,0.049305124615939555,0.15873296723136696,0.0,2,locally_searched_attained_extreme,False
hmm3,0.2,2.0,sum_min,0.0,0.0,0.0,0.0,-10303.052903225782,-10303.05290322578,0.1522122806048261,0.04862077479800229,0.15450244198783844,0.0,12,locally_searched_attained_extreme,False
hmm3,0.2,2.0,sum_max,0.08191256289499883,0.05479777588761213,0.027114787007386704,0.08191256289499883,-10305.045796962184,-10303.05290322578,0.0,0.0,0.15650638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.2,10.0,g01_min,0.0,0.0,0.0,0.0,-10303.052903225782,-10303.05290322578,0.1522122806048261,0.04862077479800229,0.15450244198783844,0.0,12,locally_searched_attained_extreme,False
hmm3,0.2,10.0,g01_max,0.060797775887612135,0.060797775887612135,0.030005203350239793,0.09080297923785192,-10312.623378459135,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.2,10.0,g12_min,0.0,0.0,0.0,0.0,-10303.052903225782,-10303.05290322578,0.1522122806048261,0.04862077479800229,0.15450244198783844,0.0,12,locally_searched_attained_extreme,False
hmm3,0.2,10.0,g12_max,0.048645929635364384,0.030736735382212128,0.048645929635364384,0.07938266501757651,-10313.030284048089,-10303.05290322578,0.13895487764049058,0.049202914130357704,0.15973296723136696,0.0,2,locally_searched_attained_extreme,False
hmm3,0.2,10.0,sum_min,0.0,0.0,0.0,0.0,-10303.052903225782,-10303.05290322578,0.1522122806048261,0.04862077479800229,0.15450244198783844,0.0,12,locally_searched_attained_extreme,False
hmm3,0.2,10.0,sum_max,0.09239977910596767,0.05779777588761214,0.03460200321835553,0.09239977910596767,-10313.019370311424,-10303.05290322578,0.0,0.0,0.16050638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm4,0,2.0,g01_min,0.05599265209504647,0.05599265209504647,0.02800413463588221,0.08399678673092868,-10218.847223778661,-10217.104231913938,0.0,0.0,0.009501681344369652,0.0,6,locally_searched_attained_extreme,False
hmm4,0,2.0,g01_max,0.061698604458420986,0.061698604458420986,0.029047134873091067,0.09074573933151206,-10218.973268625672,-10217.104231913938,0.0,0.0,0.009966565063263499,3.820503462135632e-24,6,locally_searched_attained_extreme,False
hmm4,0,2.0,g12_min,0.024834889767206145,0.05767771911811466,0.024834889767206145,0.0825126088853208,-10219.082280494258,-10217.104231913938,0.0,0.0,0.008225563294799693,0.0,7,locally_searched_attained_extreme,False
hmm4,0,2.0,g12_max,0.030490725116843184,0.06269860445842099,0.030490725116843184,0.09318932957526417,-10219.084229221273,-10217.104231913938,0.0,0.0,0.009716565063263499,3.820503462135632e-24,6,locally_searched_attained_extreme,False
hmm4,0,2.0,sum_min,0.0824303532523728,0.05767771911811466,0.02475263413425815,0.0824303532523728,-10219.084123907474,-10217.104231913938,0.0,0.0,0.008225563294799693,0.0,7,locally_searched_attained_extreme,False
